 PREM anisotropic @ 35 mhz                                                        ref per = -28.6 secs


  level    radius        rho         vpv         vph         vsv         vsh         eta         qmu         qkap
   202   1990000.0    11662.89     9842.70     9842.70        0.00        0.00     1.00000   999999.00    57823.00
   203   2000000.0    11654.78     9834.82     9834.82        0.00        0.00     1.00000   999999.00    57823.00
   204   2010000.0    11646.62     9826.90     9826.90        0.00        0.00     1.00000   999999.00    57823.00
   205   2020000.0    11638.41     9818.94     9818.94        0.00        0.00     1.00000   999999.00    57823.00
   206   2030000.0    11630.17     9810.93     9810.93        0.00        0.00     1.00000   999999.00    57823.00
   207   2040000.0    11621.87     9802.89     9802.89        0.00        0.00     1.00000   999999.00    57823.00
   208   2050000.0    11613.54     9794.81     9794.81        0.00        0.00     1.00000   999999.00    57823.00
   209   2060000.0    11605.16     9786.69     9786.69        0.00        0.00     1.00000   999999.00    57823.00
   210   2070000.0    11596.73     9778.53     9778.53        0.00        0.00     1.00000   999999.00    57823.00
   211   2080000.0    11588.26     9770.32     9770.32        0.00        0.00     1.00000   999999.00    57823.00
   212   2090000.0    11579.75     9762.07     9762.07        0.00        0.00     1.00000   999999.00    57823.00
   213   2100000.0    11571.19     9753.78     9753.78        0.00        0.00     1.00000   999999.00    57823.00
   214   2110000.0    11562.59     9745.45     9745.45        0.00        0.00     1.00000   999999.00    57823.00
   215   2120000.0    11553.94     9737.08     9737.08        0.00        0.00     1.00000   999999.00    57823.00
   216   2130000.0    11545.24     9728.66     9728.66        0.00        0.00     1.00000   999999.00    57823.00
   217   2140000.0    11536.50     9720.20     9720.20        0.00        0.00     1.00000   999999.00    57823.00
   218   2150000.0    11527.72     9711.70     9711.70        0.00        0.00     1.00000   999999.00    57823.00
   219   2160000.0    11518.89     9703.15     9703.15        0.00        0.00     1.00000   999999.00    57823.00
   220   2170000.0    11510.02     9694.55     9694.55        0.00        0.00     1.00000   999999.00    57823.00
   221   2180000.0    11501.09     9685.92     9685.92        0.00        0.00     1.00000   999999.00    57823.00
   222   2190000.0    11492.13     9677.23     9677.23        0.00        0.00     1.00000   999999.00    57823.00
   223   2200000.0    11483.11     9668.51     9668.51        0.00        0.00     1.00000   999999.00    57823.00
   224   2210000.0    11474.05     9659.73     9659.73        0.00        0.00     1.00000   999999.00    57823.00
   225   2220000.0    11464.95     9650.91     9650.91        0.00        0.00     1.00000   999999.00    57823.00
   226   2230000.0    11455.80     9642.05     9642.05        0.00        0.00     1.00000   999999.00    57823.00
   227   2240000.0    11446.60     9633.14     9633.14        0.00        0.00     1.00000   999999.00    57823.00
   228   2250000.0    11437.35     9624.18     9624.18        0.00        0.00     1.00000   999999.00    57823.00
   229   2260000.0    11428.06     9615.17     9615.17        0.00        0.00     1.00000   999999.00    57823.00
   230   2270000.0    11418.72     9606.12     9606.12        0.00        0.00     1.00000   999999.00    57823.00
   231   2280000.0    11409.33     9597.01     9597.01        0.00        0.00     1.00000   999999.00    57823.00
   232   2290000.0    11399.90     9587.86     9587.86        0.00        0.00     1.00000   999999.00    57823.00
   233   2300000.0    11390.42     9578.67     9578.67        0.00        0.00     1.00000   999999.00    57823.00
   234   2310000.0    11380.89     9569.42     9569.42        0.00        0.00     1.00000   999999.00    57823.00
   235   2320000.0    11371.32     9560.12     9560.12        0.00        0.00     1.00000   999999.00    57823.00
   236   2330000.0    11361.69     9550.78     9550.78        0.00        0.00     1.00000   999999.00    57823.00
   237   2340000.0    11352.02     9541.38     9541.38        0.00        0.00     1.00000   999999.00    57823.00
   238   2350000.0    11342.30     9531.94     9531.94        0.00        0.00     1.00000   999999.00    57823.00
   239   2360000.0    11332.54     9522.44     9522.44        0.00        0.00     1.00000   999999.00    57823.00
   240   2370000.0    11322.72     9512.89     9512.89        0.00        0.00     1.00000   999999.00    57823.00
   241   2380000.0    11312.86     9503.30     9503.30        0.00        0.00     1.00000   999999.00    57823.00
   242   2390000.0    11302.94     9493.65     9493.65        0.00        0.00     1.00000   999999.00    57823.00
   243   2400000.0    11292.98     9483.96     9483.96        0.00        0.00     1.00000   999999.00    57823.00
   244   2410000.0    11282.97     9474.21     9474.21        0.00        0.00     1.00000   999999.00    57823.00
   245   2420000.0    11272.92     9464.40     9464.40        0.00        0.00     1.00000   999999.00    57823.00
   246   2430000.0    11262.81     9454.54     9454.54        0.00        0.00     1.00000   999999.00    57823.00
   247   2440000.0    11252.65     9444.62     9444.62        0.00        0.00     1.00000   999999.00    57823.00
   248   2450000.0    11242.45     9434.67     9434.67        0.00        0.00     1.00000   999999.00    57823.00
   249   2460000.0    11232.19     9424.66     9424.66        0.00        0.00     1.00000   999999.00    57823.00
   250   2470000.0    11221.88     9414.58     9414.58        0.00        0.00     1.00000   999999.00    57823.00
   251   2480000.0    11211.53     9404.46     9404.46        0.00        0.00     1.00000   999999.00    57823.00
   252   2490000.0    11201.13     9394.28     9394.28        0.00        0.00     1.00000   999999.00    57823.00
   253   2500000.0    11190.67     9384.05     9384.05        0.00        0.00     1.00000   999999.00    57823.00
   254   2510000.0    11180.17     9373.76     9373.76        0.00        0.00     1.00000   999999.00    57823.00
   255   2520000.0    11169.61     9363.41     9363.41        0.00        0.00     1.00000   999999.00    57823.00
   256   2530000.0    11159.01     9353.02     9353.02        0.00        0.00     1.00000   999999.00    57823.00
   257   2540000.0    11148.35     9342.56     9342.56        0.00        0.00     1.00000   999999.00    57823.00
   258   2550000.0    11137.65     9332.05     9332.05        0.00        0.00     1.00000   999999.00    57823.00
   259   2560000.0    11126.89     9321.48     9321.48        0.00        0.00     1.00000   999999.00    57823.00
